,Index,GEOID,Seed1,Seed2,Seed3
600,41,50014,0,11,28
601,42,50015,0,11,28
602,43,50016,0,11,28
603,44,50017,0,11,18
604,45,50018,0,11,28
605,46,50019,0,11,28
606,47,50020,0,11,28
607,48,50021,0,11,28
608,49,50022,0,11,28
609,50,50023,0,17,28
610,51,50024,0,11,28
611,52,50025,0,11,28
612,53,50026,0,11,18
613,54,50027,0,11,18
614,55,50028,0,11,28
615,56,50029,0,11,28
616,57,50030,0,11,18
617,58,50031,0,11,18
618,59,50032,0,11,18
619,60,50033,0,11,18
620,61,50034,0,11,28
621,62,50035,0,11,28
622,63,50036,0,11,28
623,64,50037,0,11,28
624,65,50038,0,11,28
625,66,50039,0,11,28
626,67,50040,0,11,28
627,68,5011B,0,11,18
628,69,5017B,0,11,18
629,8551,4590009,0,28,28
630,8552,4590010,0,18,2
631,8553,4590011,0,18,28
632,8559,4590017,0,18,2
633,8560,4590018,0,18,2
634,8561,4590019,0,18,2
635,6642,3470012,0,17,28
636,6643,3470013,0,17,28
637,6644,3470014,0,17,18
638,6645,3470015,0,28,18
639,6646,3470016,0,28,18
640,6647,3470017,0,17,18
641,6648,3470021,0,17,18
642,6649,3470022,0,17,18
643,6650,3470023,0,17,18
644,6651,3470024,0,17,18
645,6652,3470025,0,17,18
646,6653,3470026,0,11,18
647,6654,3470027,0,11,18
648,6655,3470030,0,17,18
649,6656,3470031,0,17,18
650,6657,3470032,0,17,18
651,6658,3470033,0,17,18
652,6659,3470034,0,17,18
653,6660,3470041,0,17,18
654,6661,3470042,0,11,18
655,6662,3470043,0,11,18
656,6663,3470044,0,11,18
657,6664,3470045,0,11,18
658,6665,3470046,0,11,18
659,6666,3470047,0,11,18
660,6930,3650001,0,18,28
661,6931,3650002,0,18,28
662,6932,3650003,0,18,28
663,6933,3650005,0,18,28
664,6934,3650007,0,18,28
665,6935,3650008,0,18,28
666,6936,3650009,0,18,28
667,6937,3650010,0,18,28
668,6938,3650012,0,18,28
669,6939,3650013,0,18,28
670,6940,3650014,0,18,28
671,6941,3650018,0,18,28
672,6942,3650019,0,18,28
673,6943,3650020,0,18,28
674,6944,3650022,0,18,28
675,6945,3650026,0,18,28
676,6946,3650027,0,18,28
677,6947,3650028,0,18,28
678,6948,3650029,0,18,28
679,9044,49902-1,0,18,27
680,9047,49903-1,0,18,27
681,9048,49903-2,0,18,27
682,9049,49903-3,0,28,27
683,9050,49904-1,0,18,27
684,9051,49904-2,0,18,27
685,4995,2030001,0,28,28
686,4996,2030002,0,28,28
687,4997,2030003,0,28,28
688,4998,2030004,0,18,28
689,4999,2030005,0,18,28
690,5000,2030006,0,18,28
691,5001,2030007,0,18,28
692,5002,2030008,0,18,28
693,5003,2030009,0,28,28
694,5004,2030010,0,28,28
695,5005,2030011,0,18,28
696,5006,2030012,0,28,28
697,5007,2030013,0,28,28
698,5008,2030014,0,28,28
699,5009,2030015,0,28,28
700,5010,2030016,0,18,28
701,5011,2030017,0,18,28
702,5012,2030018,0,18,28
703,5013,2030019,0,28,28
704,5014,2030020,0,18,28
705,5015,2030021,0,18,28
706,5016,2030022,0,28,28
707,5017,2030023,0,28,28
708,5018,2030024,0,28,2
709,5019,2030025,0,28,28
710,5020,2030026,0,18,28
711,7196,4010111,0,28,28
712,7197,4010112,0,28,28
713,7198,4010113,0,28,28
714,7199,4010114,0,28,28
715,7200,4010201,0,28,28
716,7201,4010212,0,28,28
717,7202,4010213,0,28,28
718,7203,4010214,0,28,28
719,7204,4010215,0,28,28
720,7205,4010302,0,28,28
721,7206,4010303,0,28,28
